machine,year,vendor,isa,microarch,cpu_model,process_node,l1_size_b,l1_assoc_phase1,l1_assoc_pmu,l1_assoc_agree,l1_sets,l1_line_b,l1_hit_ticks,l1_hit_ns,l1_missp_ticks,l1_missp_ns,l2_size_b,l2_assoc_phase1,l2_assoc_pmu,l2_assoc_agree,l2_sets_pmu,l2_line_b,l2_hit_ticks,l2_hit_ns,l2_missp_ticks,l2_missp_ns,llc_size_phase1_b,llc_size_pmu_b,llc_size_agree,llc_assoc_phase1,llc_assoc_pmu,llc_assoc_agree,llc_sets_pmu,llc_line_b,llc_sharing_cores,llc_mib_per_core,llc_hit_ticks,llc_hit_ns,llc_missp_ticks,llc_missp_ns,dram_ticks,dram_ns,incl_l1_l2,incl_l2_llc,incl_l1_llc,pmu_l1missrate_at_l1fp_pct,pmu_cachemissrate_at_llcfp_pct,base_clock_ghz,hhat_256kib,hhat_256kib_ci_lower,hhat_256kib_ci_upper
sunbird,2014,Intel,x86-64,Haswell,Xeon E5-2680 v3,22nm,32768,8,8,TRUE,64,64,10.35,4.14,124,49.6,262144,8,8,TRUE,512,64,26.83,10.73,284,113.6,31457280,31457280,TRUE,9,20,FALSE,24576,64,24,2.5,58.42,23.37,622,248.8,207,82.8,NON-INCLUSIVE (confident),UNCERTAIN,UNCERTAIN (leans INCLUSIVE),0.61,14.21,2.50,0.7404,0.7363,0.7446
charnwood,2015,Intel,x86-64,Skylake,Core i7-6700,14nm,32768,8,8,TRUE,64,64,7.98,2.35,107,31.47,262144,8,4,FALSE,1024,64,17.27,5.08,644,189.4,8388608,8388608,TRUE,8,16,FALSE,8192,64,8,2.0,108,31.76,852,250.6,394.7,116.1,NON-INCLUSIVE (confident),NON-INCLUSIVE (leans; low conf),INCLUSIVE (leans; moderate conf),1.13,33.56,3.40,1.0,1.0,1.0
ookay,2017,Intel,x86-64,Kaby Lake,Core i7-7700,14nm,32768,8,8,TRUE,64,64,7.49,2.08,96,26.67,262144,8,4,FALSE,1024,64,18.53,5.15,723,200.8,8388608,8388608,TRUE,8,16,FALSE,8192,64,8,2.0,74.78,20.77,693,192.5,284.45,79.02,NON-INCLUSIVE (confident; cleanest),INCLUSIVE (weak lean),INCLUSIVE (leans; moderate-strong),0.97,61.50,3.60,0.9613,0.9321,0.9631
upgrade,2017,Intel,x86-64,Coffee Lake,Core i7-8700,14nm,32768,8,8,TRUE,64,64,6.17,1.93,67,20.94,262144,8,4,FALSE,1024,64,16.12,5.04,510,159.4,12582912,12582912,TRUE,8,16,FALSE,12288,64,12,2.0,155.05,48.45,605,189.1,251.56,78.61,NON-INCLUSIVE (confident),NON-INCLUSIVE (leans; weak conf),UNCERTAIN (reasoned lean NON-INCLUSIVE),1.13,39.71,3.20,0.9992,0.9512,1.0
crux,2019,Intel,x86-64,Coffee Lake Refresh,Core i7-9700,14nm,32768,8,8,TRUE,64,64,7.42,2.47,77,25.67,262144,8,4,FALSE,1024,64,14.30,4.77,260,86.67,8388608,12582912,FALSE,8,12,FALSE,16384,64,8,1.5,43.23,14.41,437,145.7,236.80,78.93,NON-INCLUSIVE (confident; cleanest),NON-INCLUSIVE (leans; moderate conf),UNCERTAIN (barely leans NON-INCLUSIVE),1.07,11.60,3.00,0.9824,0.8951,0.9928
skylark,2019,AMD,x86-64,Zen 2,EPYC 7532,7nm,32768,8,8,TRUE,64,64,6.24,2.60,96,40.0,524288,8,8,TRUE,1024,64,16.15,6.73,120,50.0,8388608,16777216,FALSE,8,16,FALSE,16384,64,2,8.0,27.22,11.34,360,150.0,274.87,114.5,UNCERTAIN (weak lean NON-INCLUSIVE),NON-INCLUSIVE (confident; 99.5%),NON-INCLUSIVE (confident; cleanest 100%),0.42,46.59,2.40,0.9958,0.9942,0.9974
thunderbird,2020,Ampere,AArch64,ARM Neoverse N1,Ampere Q80-30,7nm,65536,4,4,TRUE,256,64,0.130,5.0,1.5,60.0,1048576,12,8,FALSE,2048,64,0.2975,11.9,2.0,80,31457280,,,10,,,,128,80,0.4,0.907,36.3,4.0,160,2.336,93.4,NON-INCLUSIVE (confident),UNCERTAIN (leans INCLUSIVE),NON-INCLUSIVE (leans; opposite of Sunbird),0.20,5.50,,1.0,1.0,1.0
artemisia,2023,Intel,x86-64,Sapphire Rapids,Xeon Gold 5420+,10nm/Intel7,49152,12,12,TRUE,64,64,9.87,4.94,188,94.0,2097152,16,16,TRUE,2048,64,28.05,14.03,381,190.5,31457280,55050240,FALSE,16,15,FALSE,57344,64,56,1.875,94.38,47.19,582,291.0,305.58,152.79,UNCERTAIN (77.5% ambiguous; methodological gap),INCLUSIVE (confident; 100%),INCLUSIVE (confident; cleanest 100%),0.60,53.96,2.00,1.0,0.9931,1.0
hazel_broadwell,2016,Intel,x86-64,Broadwell-EP,Xeon E5-2650 v4 (Hazel),14nm,32768,8,,,64,64,7.85,3.568,76,34.545,262144,4,,,,64,18.09,8.223,289.5,131.591,33554432,,,,,,,64,,,47.58,21.627,1001,455,186.79,84.905,UNCERTAIN,UNCERTAIN (confound),UNCERTAIN (confound),,,2.2,,,
hazel_skylake,2017,Intel,x86-64,Skylake-SP,Xeon Gold 6130 (Hazel),14nm,32768,8,,,64,64,9.54,4.543,58,27.619,1048576,,,,,64,17.41,8.29,378,180,23726560,,,,,,,64,,,152.41,72.576,654,311.429,194.99,92.852,EXCLUSIVE/NON-INCLUSIVE (calib. caveat),UNCERTAIN,EXCLUSIVE/NON-INCLUSIVE,,,2.1,,,
